,Unnamed: 0,Name,username,twitter_link,text,likes,retweets,replies,followers,engagement_rate
61,61,Reuters Health,Reuters_Health,https://twitter.com/Reuters_Health/status/1717998398626750855#m,"AbbVie , girding for government price negotiations on its big-selling cancer drug Imbruvica, on Friday disclosed a $2.1 billion charge related to an expected drop in revenue once the new price for U.S. Medicare patients goes into effect. reut.rs/3Qdv8vc",0,0,0,260700,0.0
611,611,Reuters Health,Reuters_Health,https://twitter.com/Reuters_Health/status/1644124106894241793#m,"AbbVie Inc and partner Johnson & Johnson intend to voluntarily withdraw the accelerated approvals of their Imbruvica drug in the U.S. for patients with certain types of blood cancer, the companies said on Thursday. reut.rs/40UCR5y",2,3,0,260700,0.0019179133103183735
610,610,Reuters Health,Reuters_Health,https://twitter.com/Reuters_Health/status/1644188372917800963#m,"AbbVie Inc and partner Johnson & Johnson intend to voluntarily withdraw the accelerated approvals of their Imbruvica drug in the U.S. for patients with certain types of blood cancer, the companies said on Thursday. reut.rs/3ZU2B0d",0,0,0,260700,0.0
67,67,Reuters Health,Reuters_Health,https://twitter.com/Reuters_Health/status/1717934410467557858#m,"AbbVie , girding for government price negotiations on its big-selling cancer drug Imbruvica, on Friday disclosed a $2.1 billion charge related to an expected drop in revenue once the new price for U.S. Medicare patients goes into effect. reut.rs/3Fyv587",0,0,0,260700,0.0
585,585,Medscape,Medscape,https://twitter.com/Medscape/status/1645479255432626191#m,AbbVie and partner Johnson & Johnson intend to voluntarily withdraw the accelerated approvals of Imbruvica in the US for patients with certain types of blood cancer. #TwitteRx ms.spr.ly/6016gy6FG,4,1,0,256899,0.0019462901762949641
427,427,USA TODAY Politics,usatodayDC,https://twitter.com/usatodayDC/status/1696495422565409277#m,"The drugs to be negotiated include Eliquis, Jardiance, Xarelto, Januvia, Farxiga, Entresto, Enbrel, Imbruvica , Stelara and versions of Fiasp.         rssfeeds.usatoday.com/~/7905…",1,1,3,228500,0.002188183807439825
407,407,USA TODAY Politics,usatodayDC,https://twitter.com/usatodayDC/status/1696502971339555018#m,"The first drug prices targeted include Eliquis, Jardiance, Xarelto, Januvia, Farxiga, Entresto, Enbrel, Imbruvica, Stelara and versions of Fiasp.         rssfeeds.usatoday.com/~/7905…",2,0,1,228500,0.001312910284463895
46,46,CMSGov,CMSGov,https://twitter.com/CMSGov/status/1720532267141927122#m,"Monday, November 6 at 12pm EST: CMS is hosting a patient-focused Listening Session on the selected drug Imbruvica for the Medicare Drug Price Negotiation Program. Learn more here: https://go.cms.gov/3StCoFQ",4,1,0,201700,0.002478929102627665
42,42,CMSGov,CMSGov,https://twitter.com/CMSGov/status/1721566871177089299#m,Starting Soon: CMS is hosting a patient-focused Listening Session on the selected drug Imbruvica for the Medicare Drug Price Negotiation Program. Learn more here: https://go.cms.gov/3QtZWI0,2,1,0,201700,0.001487357461576599
392,392,Victoria Brownworth,VABVOX,https://twitter.com/VABVOX/status/1696514963282579507#m,"These are expensive drugs that are also commonly used. On this list is Stelara, an immunosuppressant treating Crohn's, psoriatic arthritis and other disease. Cost is about $14k per dose. Cancer drug Imbruvica costs $14k for a 28 day supply.  Also insulin pen FIASP.",32,9,5,155800,0.029525032092426188
444,444,Bloomberg Law,BLaw,https://twitter.com/BLaw/status/1696489841997799495#m,"The other drugs are: Imbruvica, Enbrel, Januvia, Entresto, Farxiga, NovoLog, and Stelara.",3,1,1,150200,0.003328894806924101
375,375,The Intellectualist,highbrow_nobrow,https://twitter.com/highbrow_nobrow/status/1696526061092364625#m,10 drugs for Medicare Price Negotiation:  1.Eliquis 2.Enbrel 3.Entresto 4.Farxiga 5.Imbruvica 6.Januvia 7.Jardiance 8.Novo Log; Novo Log; Flex Pen; NovoLog; Flex Pen; NovoLog; Pen Fill;Fias p; Fiasp; FlexTouch; FiaspPenFill 9.Stelara 10.Xarelto @HuffPost. https://theintellectualist.com/members/the-intellectualist/activity/31897/,97,24,4,133200,0.09384384384384384
626,626,LBCI Lebanon English,LBCI_News_EN,https://twitter.com/LBCI_News_EN/status/1635258473989701638#m,"The blood thinner Eliquis from Bristol Myers Squibb, #Pfizer's breast cancer drug Ibrance and #AbbVie's leukemia treatment Imbruvica are likely to be among 10 big-selling medicines subject to #US price negotiations for 2026.  https://www.lbcgroup.tv/news/world/691720/bristol-myers-pfizer-abbvie-drugs-likely-to-face-u/en",0,0,0,127400,0.0
567,567,Newsquawk,Newsquawk,https://twitter.com/Newsquawk/status/1648317029739266050#m,"$JNJ +0.5%: EPS & rev. beat; Raised div. ~5% & lifted FY guide; But, seeing greater-than-exp. comp. for Imbruvica  $BK -0.5%: EPS beat w/ rev. inline; Total deposits beat but AUM fell 16% Y/Y  $LMT +2%: EPS & rev. beat; Reaffirmed FY profit outlook  $RUN +4%: Upgraded at KeyBanc",1,0,1,125300,0.0015961691939345571
378,378,The Oklahoman,TheOklahoman_,https://twitter.com/TheOklahoman_/status/1696523104498196667#m,"The first drug prices targeted include Eliquis, Jardiance, Xarelto, Januvia, Farxiga, Entresto, Enbrel, Imbruvica, Stelara and versions of Fiasp. https://www.oklahoman.com/story/news/health/2023/08/29/biden-eliquis-jardiance-xarelto-drug-price-negotiations/70705825007/",0,0,1,121600,0.0008223684210526315
625,625,Intl. Business Times,IBTimes,https://twitter.com/IBTimes/status/1635272247253544960#m,"The blood thinner Eliquis from Bristol Myers Squibb, Pfizer's breast cancer drug Ibrance and AbbVie's leukaemia treatment Imbruvica are likely to be among 10 big-selling medicines subject to U.S. https://www.ibtimes.com/bristol-myers-pfizer-abbvie-drugs-likely-face-us-price-negotiation-3676327",1,0,1,119100,0.001679261125104954
855,855,businessline,businessline,https://twitter.com/businessline/status/1592771980243390464#m,"A US court has rejected the appeal of Natco Pharma’s marketing partner Alvogen’s appeal on Ibrutinib tablets, in a suit related to the proposed generic equivalents to Imbruvica tablets. https://trib.al/yF0vGk5",0,0,0,110300,0.0
429,429,Sarah Reese Jones,PoliticusSarah,https://twitter.com/PoliticusSarah/status/1696495305363960095#m,New: The selected drug list for the first round of negotiation is:  Eliquis Jardiance Xarelto Januvia Farxiga Entresto Enbrel Imbruvica Stelara Fiasp; Fiasp FlexTouch; Fiasp PenFill; NovoLog; NovoLog FlexPen; NovoLog PenFill,25,15,2,109500,0.03835616438356164
62,62,FiercePharma,FiercePharma,https://twitter.com/FiercePharma/status/1717953864635171257#m,"As Imbruvica loses steam, AbbVie takes $2.1B charge and points to CMS price negotiations https://www.fiercepharma.com/pharma/abbvie-estimates-value-imbruvica-will-decline-21b-because-cms-price-negotiations",1,0,0,96400,0.001037344398340249
823,823,FiercePharma,FiercePharma,https://twitter.com/FiercePharma/status/1598703806279462912#m,Eisai fields lecanemab safety questions in its full data release. BeiGene's Brukinsa betas Imbruvica in CLL. Shionogi's COVID drug snags first nod. https://www.fiercepharma.com/pharma/eisai-lecanemab-alzheimer-data-beigene-imbruvica-showdown-shionogi-covid-drug-nod,2,1,0,96400,0.0031120331950207467
562,562,FiercePharma,FiercePharma,https://twitter.com/FiercePharma/status/1649457739431641106#m,"AbbVIe's Imbruvica is still the world's top-selling BTK inhibitor for blood cancers, but BeiGene's Brukinsa is gaining ground fast thanks to a head-to-head trial victory. https://www.fiercepharma.com/pharma/beigenes-brukinsa-surging-cll-abbvie-gets-win-uk-imbruvica-venclyxta-combo",7,3,0,96400,0.01037344398340249
619,619,Seeking Alpha Market News,MarketCurrents,https://twitter.com/MarketCurrents/status/1639023716586905600#m,"$JNJ $ABBV - J&J, Abbvie's Imbruvica gets expanded blood cancer indication in Canada https://seekingalpha.com/news/3950766-johnson-johnson-abbvie-imbruvica-expanded-blood-cancer-indication-canada?source=feed_f&utm_campaign=twitter_automated&utm_content=news&utm_medium=social&utm_source=twitter_automated",0,0,0,88300,0.0
785,785,Brad Loncar,bradloncar,https://twitter.com/bradloncar/status/1602682554951270402#m,"If there was a Hall of Fame of cancer drugs, Imbruvica would be in it. To go head-to-head and beat it on PFS and ORR in this setting is a pretty big deal.",46,7,5,67100,0.08643815201192251
780,780,Pharma & Life Science News,pharminews,https://twitter.com/pharminews/status/1602728978107842562#m,BeiGene’s BRUKINSA® (zanubrutinib) Demonstrated Superior Progression-Free Survival Over IMBRUVICA® (ibrutinib) in Chronic Lymphocytic Leukemia in Late-Breaker at ASH https://www.pharmiweb.com/press-release/2022-12-13/beigene-s-brukinsa-zanubrutinib-demonstrated-superior-progression-free-survival-over-imbruvica?utm_source=twitter&utm_medium=autopost&utm_campaign=2021-08&utm_content=pharminews #PharmaNews #ClinicalResearchNews #BiotechNews #LifeSciencesNews #MedicalNews #HealthcareN,0,0,0,62800,0.0
640,640,Abojani Investment 🇰🇪🇺🇬🇹🇿,TheAbojani,https://twitter.com/TheAbojani/status/1628442429903851523#m,"AbbVie offers its products in various therapeutic categories, including Immunology products, which include Humira, Skyrizi and Rinvoq; Oncology products consists of Imbruvica and Venclexta; Aesthetics products include Botox Cosmetic, Juvederm Collection and other aesthetics;",1,0,0,62200,0.001607717041800643
394,394,Nurses Against Dick Pics. 🇺🇦,ClaudetteGGibs1,https://twitter.com/ClaudetteGGibs1/status/1696512573791781247#m,Here are the first 10 drugs selected for Medicare price negotiation:  🔸️ Eliquis 🔸️Jardiance 🔸️ Xarelto 🔸️ Januvia 🔸️ Farxiga 🔸️ Entresto 🔸️Enbrel 🔸️ Imbruvica 🔸️ Stelara Fiasp; Fiasp FlexTouch; Fiasp PenFill; NovoLog; NovoLog FlexPen; NovoLog PenFill.,24,13,5,60500,0.06942148760330578
422,422,Sawyer Hackett,SawyerHackett,https://twitter.com/SawyerHackett/status/1696496858363756664#m,The White House just released 10 drugs that will now be negotiated by Medicare:  -Novo Nordisk and Fiasp insulin -Eliquis and Xarelto blood thinners -Januvia and Jardiance diabetes drugs -Imbruvica leukemia drug -Enbrel rheum arthritis drug -Entresto heart meds -Stelara psoriasis,39,11,0,60200,0.08305647840531562
612,612,FirstWord Pharma,fwpharma,https://twitter.com/fwpharma/status/1644107138250293248#m,"J&J, AbbVie to pull certain lymphoma indications from US Imbruvica label $JNJ $ABBV https://firstwordpharma.com/story/5725326",1,0,0,54600,0.0018315018315018315
781,781,FirstWord Pharma,fwpharma,https://twitter.com/fwpharma/status/1602728747177762816#m,BeiGene's Brukinsa shows PFS benefit of 35% over Imbruvica $BGNE https://firstwordpharma.com/story/5685979,0,0,0,54600,0.0
92,92,Bruce Bourgoine,BruceBourgoine,https://twitter.com/BruceBourgoine/status/1709586893388513507#m,"On Medicare taking Eliquis, Jardiance, Xarelto, Januvia, Farxiga, Entresto, Enbrel, Imbruvica and Stelara, Fiasp and other insulins made by Novo Nordisk?  You now have a champion negotiating prices for you; @JoeBiden is on your side.  #mepolitics #VoteBlue #BidenHarris2024",23,12,1,54400,0.0661764705882353
386,386,Henry M. Rosenberg,DoctorHenryCT,https://twitter.com/DoctorHenryCT/status/1696515745151168538#m,"Starting in 2026, Medicare will be able to negotiate prices for Eliquis, Xarelto, Jardiance, Januvia, Farxiga, NovoLog, Enbrel, Stelara & Imbruvica. This will begin to reverse the travesty that occurred when Medicare Part D passed, forbidding such negotiations. Now, do the rest.",95,35,3,48500,0.27422680412371137
91,91,AARP Advocates,AARPadvocates,https://twitter.com/AARPadvocates/status/1709612488394690648#m,"Diana Di Vito from Pennsylvania has paid tens of thousands of dollars each year for the medicine she needs.   The good news? Relief is on the way, thanks to the new Rx law.   Medicare has started price negotiations for Imbruvica and 9 other medicines American seniors depend on.",3,4,0,47600,0.014705882352941175
83,83,AARP Advocates,AARPadvocates,https://twitter.com/AARPadvocates/status/1710744352857694665#m,"After decades of opposition from big drug companies, Medicare will use its buying power to get a better deal for American seniors--like Diana, who takes Imbruvica.",13,6,1,47600,0.04201680672268908
643,643,Drugs.com,Drugscom,https://twitter.com/Drugscom/status/1628016794693783553#m,Imbruvica: 7 things you should know https://bit.ly/3rKDmAl,2,0,0,46700,0.004282655246252677
642,642,Drugs.com,Drugscom,https://twitter.com/Drugscom/status/1628077114762178560#m,Imbruvica: 7 things you should know https://bit.ly/3rKDmAl,1,0,0,46700,0.0021413276231263384
426,426,Secretary Xavier Becerra,SecBecerra,https://twitter.com/SecBecerra/status/1696495877613822333#m,Here are the first 10 drugs selected for Medicare price negotiation:  ✅ Eliquis ✅ Jardiance ✅ Xarelto ✅ Januvia ✅ Farxiga ✅ Entresto ✅ Enbrel ✅ Imbruvica ✅ Stelara ✅ Fiasp; Fiasp FlexTouch; Fiasp PenFill; NovoLog; NovoLog FlexPen; NovoLog PenFill https://www.hhs.gov/about/news/2023/08/29/hhs-selects-the-first-drugs-for-medicare-drug-price-negotiation.html,178,101,25,44000,0.6909090909090909
829,829,OncLive.com,OncLive,https://twitter.com/OncLive/status/1596262646894166016#m,ICYMI: The BTK inhibitor class changed the therapeutic landscape for CLL and paved the road for a new way of treating the disease. This was marked by the FDA approval of #imbruvica® (#ibrutinib). ow.ly/2gz250LLi8Q,0,0,0,42300,0.0
99,99,NORD,RareDiseases,https://twitter.com/RareDiseases/status/1708843027786019278#m,"Last chance to make your voice heard! If you use any of these medications, sign up to advocate for the lower prices you need:  #Eliquis, #Jardiance, #Xarelto, #Januvia, #Farxiga, #Entresto, #Enbrel, #Imbruvica, #Stelara, #Fiasp, #NovoLog  Learn more: https://go.cms.gov/46b5MEP",0,0,0,40600,0.0
102,102,NORD,RareDiseases,https://twitter.com/RareDiseases/status/1707857531429675432#m,"To help lower their costs, Medicare & Medicaid want to hear from patients who use the following medications: #Eliquis, #Jardiance, #Xarelto, #Januvia, #Farxiga, #Entresto, #Enbrel, #Imbruvica, #Stelara, #Fiasp, #NovoLog  Sign up for a listening session: https://go.cms.gov/46b5MEP",2,1,0,40600,0.007389162561576354
411,411,Marc Siegel MD,DrMarcSiegel,https://twitter.com/DrMarcSiegel/status/1696501196905648242#m,"US names first 10 drugs for Medicare price negotiation Medicines on the list include diabetes drug Januvia and Jardiance, Eliquis rival Xarelto and leukemia treatment Imbruvica, arthritis drug Enbrel, Stelara and insulin. All crucial drugs  https://www.reuters.com/business/healthcare-pharmaceuticals/us-name-first-10-drugs-medicare-price-negotiation-2023-08-29/",3,0,1,39500,0.010126582278481013
87,87,NSUR Coin,NsuRcoin,https://twitter.com/NsuRcoin/status/1710359133562569176#m,"Imbruvica: A New Hope for Blood Cancer Patients  Stay healthy with NSUR 🛡  Learn more📚,  https://piped.video/i80zbkIu56I",1,0,0,37800,0.002645502645502646
409,409,⚖️🪴🇺🇦🌈🇮🇱,rogertansey,https://twitter.com/rogertansey/status/1696501909899903245#m,"10/ “The rest of the list consists of Januvia, Farxiga and NovoLog, which treat diabetes among other conditions; Enbrel and Stelara, for arthritis and psoriasis; and Entresto, for heart failure; and Imbruvica, for cancers of the blood.”",1,0,1,36000,0.005555555555555556
395,395,Lynn Sweet,lynnsweet,https://twitter.com/lynnsweet/status/1696512195062878316#m,"New: Biden White House announces drugs selected for 1st Medicare drug price negotiation to cut prices: Eliquis, Jardiance, Xarelto, Januvia, Farxiga, Entresto,  Enbrel, Imbruvica, Stelara, and  Fiasp, Fiasp FlexTouch, Fiasp PenFill, Novolog, Novolog Flexpen, and Novolog Penfill.",11,2,3,35700,0.04481792717086835
188,188,Paul Mooney 慕亦仁,pjmooney,https://twitter.com/pjmooney/status/1696991040736252092#m,MAGA Republicans are STUNNED as more details of Biden's initiative to drop prescription drug costs: The list of medications:  ✅Eliquis ✅Jardiance ✅Januvia ✅Farxiga ✅Entresto ✅Enbrel ✅Imbruvica ✅Stelara ✅Fiasp  https://www.threads.net/@calltoactivism/post/CwlTtBRRh37/?igshid=MzRlODBiNWFlZA==,0,0,2,33900,0.0058997050147492625
425,425,annmarie hordern,annmarie,https://twitter.com/annmarie/status/1696495926955725263#m,Biden admin names the first 10 prescription drugs subject to Medicare price negotiation:  - Bristol & Pfizer’s blood thinner Eliquis - Lilly’s type 2 diabetes pill Jardiance - J&J’s blood thinner Xarelto - AbbVie’s leukemia drug Imbruvica - Amgen rheumatoid arthritis drug Enbrel,19,5,3,33700,0.08011869436201781
793,793,Briefing.com,Briefingcom,https://twitter.com/Briefingcom/status/1602371811223646208#m,$JNJ: Johnson & Johnson's Janssen reports real-world study shows patients treated with IMBRUVICA were less likely to... https://bit.ly/3Yjurn6,1,1,0,32700,0.0061162079510703364
443,443,Erik Wasson,elwasson,https://twitter.com/elwasson/status/1696490295255269688#m,List of 10 Medicare drugs to have prices negotiated is out:  •Eliquis •Jardiance •Xarelto •Januvia •Farxiga •Entresto •Enbrel •Imbruvica •Stelara •Fiasp; Fiasp FlexTouch; Fiasp PenFill; NovoLog; NovoLog FlexPen; NovoLog PenFill,8,4,1,32600,0.03987730061349693
65,65,Accountable.US,accountable_us,https://twitter.com/accountable_us/status/1717948275569959337#m,".@abbvie increased the price of the drug Humira by 470% since 2003, and the price of Imbruvica by 82% since 2013.  It's not shocking they continue to rake in BILLIONS at the expense of their patients.   https://qz.com/abbvie-q3-earnings-snapshot-1850965859",1,1,0,32500,0.006153846153846154
810,810,Stock Market News,Stock_Market_Pr,https://twitter.com/Stock_Market_Pr/status/1601634367457361920#m,"New Results from the Phase 3 GLOW Study of Fixed-Duration Treatment with IMBRUVICA® (ibrutinib) Plus Venetoclax Demonstrate Robust Efficacy and Sustained Response in Older, Unfit Patients with Previously Untreated Chronic… https://stockspressrelease.com/new-results-from-the-phase-3-glow-study-of-fixed-duration-treatment-with-imbruvica-ibrutinib-plus-venetoclax-demonstrate-robust-efficacy-and-sustained-response-in-older-unfit-patients-with-pr/?utm_source=dlvr.it&utm_medium=twitter #PRNewsWire #PRNewswire",0,0,0,30600,0.0
813,813,Stock Market News,Stock_Market_Pr,https://twitter.com/Stock_Market_Pr/status/1601619546150141957#m,AbbVie Presents Data at the 64th American Society of Hematology (ASH) Annual Meeting Adds to Robust IMBRUVICA® (ibrutinib) Science https://stockspressrelease.com/abbvie-presents-data-at-the-64th-american-society-of-hematology-ash-annual-meeting-adds-to-robust-imbruvica-ibrutinib-science/?utm_source=dlvr.it&utm_medium=twitter #PRNewsWire #PRNewswire,0,0,0,30600,0.0
367,367,TrumpsTaxes,TrumpsTaxes,https://twitter.com/TrumpsTaxes/status/1696530675028107568#m,"Another life-changing achievement from the Biden-Harris Administration.  Eliquis, Jardiance, Xarelto, Januvia, Farxiga, Entresto, Enbrel, Imbruvica, Stelara, Fiasp and NovoLog will all be subject to Medicare price negotiations, saving seniors *billion$*. https://abcnews.go.com/Politics/biden-administration-names-10-prescription-drugs-medicare-price/story?id=102643930",94,22,1,27100,0.43173431734317347
635,635,CURE Today,cure_today,https://twitter.com/cure_today/status/1630923447860592640#m,"MRI may predict which patients treated with Imbruvica may experience heart toxicity, research from @OhioState found. ow.ly/SUCc50N5beP",1,1,0,25300,0.007905138339920948
4,4,CURE Today,cure_today,https://twitter.com/cure_today/status/1731795586423177324#m,The combination of Imbruvica and Venclexta shows promising benefits for previously untreated patients with CLL. https://www.curetoday.com/view/imbruvica-venclexta-combination-demonstrates-benefits-in-untreated-cll,1,1,0,25300,0.007905138339920948
100,100,CURE Today,cure_today,https://twitter.com/cure_today/status/1708164810926600675#m,Frontline Imbruvica combined with Venclexta combination may restore immune profiles for patients with chronic lymphocytic leukemia. https://www.curetoday.com/view/frontline-imbruvica-plus-venclexta-may-restore-immune-profiles-in-cll,0,0,0,25300,0.0
79,79,CURE Today,cure_today,https://twitter.com/cure_today/status/1713963108706721920#m,"Calquence shows fewer heart complications compared to Imbruvica in treatment for patients with CLL, according to an expert @PennMedicine. https://www.curetoday.com/view/calquence-had-fewer-heart-complications-than-imbruvica-in-cll-treatment",2,1,0,25300,0.011857707509881422
587,587,CURE Today,cure_today,https://twitter.com/cure_today/status/1645442121774637056#m,"Long-term data showed that Imbruvica-containing regimens did not improve overall survival in patients with marginal zone lymphoma or mantle cell lymphoma, so the drug's indication is being pulled. ow.ly/KuYv50NEUQg",1,1,0,25300,0.007905138339920948
21,21,Jacob Plieth,JacobPlieth,https://twitter.com/JacobPlieth/status/1726559817303834956#m,"At last $MRK nemtabrutinib (non-cov BTKi via $ARQL) makes progress in ph3. Third pivotal study, head-to-head vs Imbruvica or Calquence (but not Brukinsa?!) just listed on CTgov https://classic.clinicaltrials.gov/ct2/show/NCT06136559 $LLY $BGNE",6,0,3,24600,0.036585365853658534
48,48,Jacob Plieth,JacobPlieth,https://twitter.com/JacobPlieth/status/1720096718094811625#m,"NVG-111, a ROR1 T-cell engager from Novagen (55% ORR, but note Imbruvica combo) #ASH23 $ONCT $MRK https://ash.confex.com/ash/2023/webprogram/Paper188607.html",1,0,0,24600,0.004065040650406504
838,838,Jacob Plieth,JacobPlieth,https://twitter.com/JacobPlieth/status/1595336276374429699#m,Calquence failed head to head vs Imbruvica. What am I missing?,0,0,2,24500,0.00816326530612245
835,835,Jacob Plieth,JacobPlieth,https://twitter.com/JacobPlieth/status/1595342509764497409#m,"I don't see that. Landmark 24-month PFS in Elevate-RR was ~70% for Calquence vs ~65% for Imbruvica, per #ASCO21 presentation",0,0,1,24500,0.004081632653061225
841,841,Jacob Plieth,JacobPlieth,https://twitter.com/JacobPlieth/status/1595095698294407170#m,"$BGNE Brukinsa got CLL approval in the EU just 5 days ago, based on Sequoia (1L vs B+R) & Alpine (r/r vs Imbruvica). Alpine 24mth landmark PFS analysis was revealed (77.4% vs 65.8%), and now #ASH22 late-breaker gives us curves & medians. Note effect in 17p dels too",12,2,3,24500,0.06938775510204082
836,836,Jacob Plieth,JacobPlieth,https://twitter.com/JacobPlieth/status/1595337523328438273#m,"Oh yes. Well, I guess BTK market now comes down to pricing. I don't see that Imbruvica was beaten by Calquence on a clinical basis. Still don't know what to make of the Brukinsa data at #ASH22",0,0,2,24500,0.00816326530612245
435,435,Jacob Plieth,JacobPlieth,https://twitter.com/JacobPlieth/status/1696494068220482044#m,Since Imbruvica features on Medicare's list of shame today I thought I'd revisit an analysis I did back in 2015. (Remember $ABBV spent $21bn on Pharmacyclics):,30,4,4,24500,0.15510204081632653
839,839,Jacob Plieth,JacobPlieth,https://twitter.com/JacobPlieth/status/1595332738764402688#m,"Reminder of $AZN Calquence vs Imbruvica Elevate-RR result, no difference on PFS #ASCO21 $BGNE #ASH22",3,0,0,24500,0.012244897959183673
832,832,Jacob Plieth,JacobPlieth,https://twitter.com/JacobPlieth/status/1595418124207235072#m,"$BGNE Brukinsa beats $JNJ Imbruvica, and it looks better than $AZN Calquence too. @evaluatevantage analysis of #ASH22 late-breaker -> https://www.evaluate.com/vantage/articles/events/conferences-trial-results/ash-2022-preview-brukinsa-has-edge-over-calquence",39,13,5,24500,0.23265306122448978
768,768,BioSpace,biospace,https://twitter.com/biospace/status/1603038665340600321#m,@BeiGeneGlobal's Brukinsa bested @JanssenGlobal's Imbruvica in patients with relapsed/refractory chronic lymphocytic leukemia or small lymphocytic leukemia.   #BeiGene #Janssen #Biotech #Pharmaceuticals #BioSpace https://hubs.li/Q01vRk9j0,0,0,0,24100,0.0
565,565,pharmaphorum,pharmaphorum,https://twitter.com/pharmaphorum/status/1649363621703569408#m,Patient body hails @NICEcomms decision to make @JNJnews’ Imbruvica and @AbbVie’s Venclyxto a front-line option for patients with chronic lymphocytic leukaemia #CLL a 'great step forward'  https://pharmaphorum.com/news/nice-says-yes-jj-abbvie-first-line-leukaemia-regimen,1,0,0,24100,0.004149377593360996
590,590,BioSpace,biospace,https://twitter.com/biospace/status/1645414071431311362#m,@abbvie and Johnson & Johnson will withdraw the accelerated approvals for #Imbruvica in mantle cell lymphoma and marginal zone lymphoma.  #AbbVie #Johnson&Johnson #Pharmaceuticals #BioSpace https://hubs.li/Q01KNVFs0,1,0,0,24100,0.004149377593360996
819,819,Investor News,newsfilterio,https://twitter.com/newsfilterio/status/1601611665191337984#m,AbbVie Presents Data at the 64th American Society of Hematology Annual Meeting Adds to Robust IMBRUVICA® Science $ABBV https://newsfilter.io/articles/abbvie-presents-data-at-the-64th-american-society-of-hematology-ash-annual-meeting-adds-to-robust-im-ee9096d32f7bfc58d80fb2631a7c5361,0,0,0,22900,0.0
